## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta	views	view_delta	view_rank	view_rank_delta
ATG5	9	-1	425	1624	13	-3	1384	224
ISG15	9	0	425	2192	13	-5	1391	342
IFT140	9	4	425	9471	0	0	9427	-44
KEAP1	9	-13	425	-238	27	-6	704	117
MAFB	9	4	425	9471	8	-2	2133	342
NR1H4	9	-1	425	1624	44	3	434	-28
HDAC6	9	-5	425	426	21	0	907	-14
TACC3	9	-2	425	1195	3	-2	4180	1131
PROCR	9	0	425	2192	7	-3	2341	554
SPTLC1	9	-3	425	877	2	1	5205	-1616
IGF2BP1	9	-15	425	-291	2	-3	5230	2188
CTCF	9	-2	425	1195	101	-5	163	3
TNFSF13B	9	-3	425	877	54	-5	345	28
RIPK3	9	-3	425	877	7	-2	2354	415
CHEK2	9	-2	425	1195	51	8	373	-74
TPX2	9	-7	425	142	2	0	5538	-31
WWC1	9	2	425	4372	2	-2	5251	1742
SATB2	9	0	425	2192	10	-1	1734	72
ESYT1	9	-3	425	877	1	1	6949	-2808
VIRMA	9	0	425	2192	0	0
HSPB8	9	2	425	4372	0	0	11220	-46
TRIB2	9	1	425	3067	2	1	5602	-1945
DROSHA	9	2	425	4372	27	9	682	-328
TBK1	9	-9	425	-39	20	2	950	-111
PSAT1	9	-2	425	1195	5	-1	3115	421
ERVW-1	9	3	425	6499	36	4	523	-90
GOLM1	9	-3	425	877	2	1	5738	-2069
IL23A	9	-5	425	426	35	11	525	-267
DDX49	9	1	425	3067	0	0
SAMD9	9	2	425	4372	4	0	3628	-18
NAT10	9	-10	425	-120	2	0	5539	-32
MEG3	9	-4	425	642	13	2	1416	-268
ITLN1	9	1	425	3067	6	2	2728	-940
DEPDC1	9	2	425	4372	0	0	11128	-57
LPAR5	9	4	425	9471	0	-2	10675	5075
SLC39A10	9	2	425	4372	1	1	7308	-3069
CIP2A	9	0	425	2192	0	-1	12835	4403
METTL14	9	-8	425	40	1	-3	7776	4094
TRIB3	9	-2	425	1195	8	2	2167	-557
NOD2	9	0	425	2192	36	1	513	-29
P2RY12	9	3	425	6499	77	-1	230	-7
TRPM3	9	1	425	3067	11	2	1542	-307
TET1	9	-3	425	877	12	-1	1513	75
TRIM56	9	-5	425	426	0	0
IL1F10	9	-3	425	877	0	-3	11434	6901
FOXP2	9	1	425	3067	87	-55	201	92
C1QTNF3	9	3	425	6499	0	0	12189	-7
PPARGC1B	9	3	425	6499	0	-8	11709	9555
KLF14	9	4	425	9471	8	0	2172	17
E2F7	9	-2	425	1195	1	1	7908	-3695
FNDC5	9	-8	425	40	20	-1	918	21
SERINC5	9	2	425	4372	0	0
SIGLEC15	9	0	425	2192	1	1	8214	-4214
TNFAIP8L3	9	9	425	17188	0	0
LIN28B	9	-3	425	877	5	3	3185	-2763
MIR125B1	9	1	425	3067	0	0
MIR126	9	-5	425	426	0	0
MIR128-1	9	-1	425	1624	0	0
MIR128-2	9	2	425	4372	0	0
MIR144	9	-5	425	426	0	0
MIR149	9	-5	425	426	0	0
MIR181A2	9	2	425	4372	0	0
MIR20A	9	3	425	6499	0	0
MIR203A	9	-3	425	877	0	0	12554	5
MIR217	9	9	425	17188	0	0
MIR23A	9	-1	425	1624	0	0
MIR92A1	9	-2	425	1195	0	0
MIR196B	9	3	425	6499	0	0	12595	6
MIR525	9	1	425	3067	0	0
UCA1	9	-2	425	1195	1	0	8291	-107
LINC00659	9	4	425	9471	0	0
A2M	8	-3	651	969	65	17	274	-123
ACAT1	8	-3	651	969	7	-4	2294	667
ADORA2A	8	1	651	4146	65	-5	277	12
ADRB2	8	0	651	2841	213	-24	55	5
ADRB3	8	1	651	4146	77	-31	229	71
ACAN	8	8	651	16962	45	8	420	-87
APLNR	8	3	651	9245	8	0	1999	-7
AHSG	8	-4	651	651	8	1	2060	-201
ALOX5	8	1	651	4146	0	0
ANXA2	8	-21	651	-580	24	3	779	-135
APC	8	-3	651	969	98	-14	171	19
BIRC5	8	-9	651	-186	30	-3	602	30
APOA4	8	1	651	4146	13	1	1362	-118
APOD	8	3	651	9245	9	-11	1957	995
KLK3	8	3	651	9245	228	14	47	-17
ABCC6	8	0	651	2841	6	5	2616	-4040
RHOA	8	-9	651	-186	30	-9	610	123
ARRB2	8	0	651	2841	14	-1	1289	86
ATP1A1	8	-19	651	-562	2	0	4744	-26
ATP5F1A	8	-19	651	-562	4	-2	3283	799
ATP7B	8	-3	651	969	21	-13	870	314
ATR	8	8	651	16962	32	-6	563	70
BBS2	8	8	651	16962	0	0	8673	-91
BCL2L1	8	-1	651	1966	0	0	12894	-1
BCL6	8	0	651	2841	57	9	325	-75
CXCR5	8	1	651	4146	32	-4	567	46
BMP4	8	-6	651	200	40	3	467	-47
BMPR2	8	0	651	2841	14	2	1296	-187
C1QBP	8	-11	651	-346	1	0	6300	7
CA6	8	8	651	16962	5	1	2949	-464
CASP3	8	-4	651	651	106	-23	152	26
CCNE1	8	0	651	2841	16	7	1145	-711
CCT6A	8	-8	651	-84	1	1	6113	-2497
CD4	8	1	651	4146	269	-8	34	6
SIGLEC6	8	2	651	6273	0	0
SCARB1	8	1	651	4146	25	-1	729	-12
CD74	8	1	651	4146	53	-4	351	23
CDKN1A	8	-12	651	-395	146	6	107	-4
CDKN1B	8	-3	651	969	39	8	484	-161
CDX2	8	0	651	2841	25	2	737	-99
CEBPA	8	-1	651	1966	32	4	570	-128
CFL1	8	-9	651	-186	4	-2	3272	793
CHD4	8	-8	651	-84	5	1	2830	-412
CHGA	8	8	651	16962	82	3	215	-15
CCR4	8	8	651	16962	41	17	457	-339
COL1A2	8	-3	651	969	4	-5	3197	1368
CPT1A	8	-7	651	32	86	4	206	-15
CRX	8	2	651	6273	1	-2	6169	2328
CRYBB2	8	8	651	16962	0	-5	8564	5732
CSPG4	8	0	651	2841	10	-13	1663	830
CCN2	8	-6	651	200	30	6	618	-189
DDX3X	8	-17	651	-532	18	3	1020	-185
DEFB1	8	8	651	16962	2	-4	4679	2218
DLAT	8	-7	651	32	21	-1	865	11
DYNC1H1	8	-10	651	-265	6	3	2521	-1385
DRD2	8	-5	651	416	229	1	46	-11
ECT2	8	-1	651	1966	1	-2	6293	2360
EGR1	8	-5	651	416	21	-9	877	224
ELK1	8	1	651	4146	23	13	802	-937
ELK3	8	-1	651	1966	0	-1	8717	2423
EMP2	8	3	651	9245	1	1	6301	-2500
CTTN	8	-7	651	32	10	-2	1683	191
ENDOG	8	2	651	6273	16	2	1151	-148
ENG	8	4	651	16822	22	-11	860	270
SLC29A1	8	0	651	2841	8	-1	2040	168
ERCC1	8	0	651	2841	12	1	1459	-153
ETV4	8	8	651	16962	1	-3	6328	3001
F2	8	0	651	2841	205	-36	59	11
F2RL1	8	-3	651	969	32	1	571	-62
F10	8	2	651	6273	74	-39	243	94
FABP5	8	-5	651	416	8	-3	2036	430
FANCD2	8	-5	651	416	7	-1	2251	212
BPTF	8	-3	651	969	2	-5	4801	2569
FCN2	8	8	651	16962	0	-1	8689	2424
FDX1	8	-2	651	1398	0	-1	8384	2360
FOXI1	8	1	651	4146	2	1	4858	-1475
FLNA	8	-17	651	-532	12	-3	1461	251
FLT4	8	2	651	6273	5	-2	2894	648
FXN	8	3	651	9245	11	-13	1534	737
FUT2	8	3	651	9245	10	6	1674	-1622
FUT8	8	-1	651	1966	7	5	2245	-2551
GABRD	8	8	651	16962	4	-1	3289	429
GALNT2	8	0	651	2841	1	0	6249	16
GATA2	8	-3	651	969	23	-4	798	74
GLA	8	-3	651	969	0	0
GLI2	8	8	651	16962	8	1	2010	-204
GNAS	8	-5	651	416	76	-29	233	71
GOT1	8	0	651	2841	7	3	2262	-1067
GPM6A	8	1	651	4146	1	-1	6211	1439
CXCR3	8	2	651	6273	30	-13	596	155
GPX1	8	-3	651	969	19	3	973	-174
GRN	8	-10	651	-265	21	-2	888	48
GRIN2B	8	0	651	2841	25	-3	738	38
PDIA3	8	-10	651	-265	8	4	2053	-1296
GSTM1	8	-10	651	-265	17	4	1090	-293
GUCY2D	8	8	651	16962	0	-2	8726	3892
GZMB	8	2	651	6273	9	0	1841	-35
H3-3A	8	-4	651	651	25	13	739	-749
HBA2	8	-2	651	1398	24	13	762	-797
HCRT	8	1	651	4146	0	0
HFE	8	1	651	4146	86	1	203	-4
HLA-DPB1	8	2	651	6273	4	-1	3358	437
HLA-DQB1	8	-1	651	1966	19	-11	982	321
HLF	8	8	651	16962	4	2	3395	-1623
HNRNPA1	8	-19	651	-562	3	0	4039	-40
HNRNPD	8	-15	651	-500	2	-2	5008	1607
PRMT1	8	-12	651	-395	11	4	1575	-683
HSPA1A	8	-17	651	-532	17	9	1059	-925
HTR1A	8	0	651	2841	264	7	37	-4
IFNAR2	8	1	651	4146	0	-3	8828	4852
IGFBP2	8	1	651	4146	9	0	1848	-36
IGH	8	2	651	6273	23	-6	805	126
IL1RN	8	0	651	2841	10	-6	1717	560
ILK	8	-1	651	1966	5	2	3194	-1442
IMPDH2	8	-9	651	-186	3	0	3979	-32
IDO1	8	-1	651	1966	74	6	244	-24
INSR	8	-4	651	651	112	-7	137	-4
PDX1	8	2	651	6273	17	-9	1097	341
IPW	8	8	651	16962	0	0
IRF6	8	2	651	6273	7	5	2224	-2513
KCNJ11	8	0	651	2841	25	21	743	-2634
KCNJ13	8	8	651	16962	1	0	6732	-3
KCNN3	8	8	651	16962	1	-2	6480	2435
KCNQ2	8	-1	651	1966	8	-2	2097	326
KIR2DS1	8	8	651	16962	2	1	5115	-1565
LAMP2	8	-2	651	1398	21	-5	898	139
LBR	8	-6	651	200	3	0	4022	-38
LMNB1	8	-12	651	-395	25	12	744	-660
LOXL2	8	0	651	2841	8	2	2080	-473
LTA	8	8	651	16962	30	-15	619	187
MCL1	8	-4	651	651	27	-9	690	162
MDM2	8	-18	651	-548	76	11	236	-43
MET	8	-7	651	32	76	-22	231	54
MIF	8	-11	651	-346	36	0	519	-13
TRPM1	8	2	651	6273	7	2	2209	-600
MME	8	-2	651	1398	104	20	155	-54
MMP7	8	-6	651	200	10	-11	1685	776
MMP13	8	1	651	4146	13	-2	1372	158
MOCS1	8	8	651	16962	2	2	4964	-4060
MOCS2	8	1	651	4146	0	0	8951	-68
ATP6	8	3	651	9245	23	11	806	-690
MTNR1A	8	2	651	6273	2	-4	4983	2436
RNR1	8	2	651	6273	2	0	5188	-24
MUC5AC	8	-4	651	651	15	4	1229	-415
MUTYH	8	-2	651	1398	17	-17	1081	521
MYB	8	2	651	6273	56	24	333	-274
MYBL1	8	0	651	2841	1	-1	6570	1527
MYCN	8	-4	651	651	81	-18	219	45
MYH2	8	8	651	16962	0	0	9096	-47
MYO1E	8	-5	651	416	0	-1	9375	2633
NCL	8	-21	651	-580	22	13	847	-1055
NTS	8	1	651	4146	0	0
NR4A2	8	0	651	2841	7	0	2308	19
FURIN	8	1	651	4146	95	5	180	-16
PRDX1	8	-10	651	-265	15	5	1241	-548
PAX9	8	0	651	2841	15	7	1243	-852
PDGFRB	8	1	651	4146	31	14	591	-517
PEPD	8	-1	651	1966	5	-2	2981	683
PFKFB3	8	-5	651	416	14	3	1318	-331
PKLR	8	-1	651	1966	1	1	7057	-2851
PKP1	8	-1	651	1966	0	-2	9530	4285
PLA2G2A	8	0	651	2841	0	-2	9511	4275
PLAGL2	8	4	651	16822	0	-2	9513	4276
PMP22	8	3	651	9245	16	7	1182	-751
POU2F2	8	2	651	6273	6	4	2463	-2214
PRKAA1	8	-7	651	32	10	6	1742	-1831
PRKCE	8	8	651	16962	4	-7	3524	1853
PRKDC	8	-17	651	-532	32	4	576	-134
MAP2K1	8	0	651	2841	14	1	1301	-89
PRNP	8	-2	651	1398	28	-12	661	193
PROX1	8	2	651	6273	9	-2	1845	231
HTRA1	8	-3	651	969	11	9	1568	-3312
PSEN1	8	-2	651	1398	0	-1	12840	4407
PTGS2	8	-6	651	200	86	-2	204	4
PTK6	8	2	651	6273	2	0	5007	7
PTPN1	8	-7	651	32	23	9	809	-515
PTPN2	8	-2	651	1398	11	2	1583	-321
RBBP4	8	-13	651	-428	6	5	2576	-3869
UPF1	8	-11	651	-346	8	-12	2071	1127
RGS2	8	2	651	6273	2	0	4988	7
RPS3	8	-17	651	-532	2	0	4999	11
RPS15A	8	-12	651	-395	0	0	9133	-52
RPS27A	8	-10	651	-265	5	4	2966	-3641
RRM2	8	-7	651	32	10	2	1718	-361
RYR2	8	-3	651	969	15	2	1233	-174
S100A6	8	-2	651	1398	7	3	2324	-1128
S100A11	8	1	651	4146	1	-5	6653	4059
S100B	8	-4	651	651	42	-5	455	43
SAA1	8	-1	651	1966	8	0	2120	28
SATB1	8	-3	651	969	3	-1	4131	642
SCN5A	8	0	651	2841	8	5	2019	-1840
CCL7	8	-1	651	1966	19	7	951	-493
CCL17	8	0	651	2841	45	26	422	-550
SRSF6	8	-3	651	969	0	-2	9159	4088
SHMT1	8	0	651	2841	0	0
ST6GAL1	8	2	651	6273	3	-1	3800	579
SIX1	8	2	651	6273	1	0	6955	5
SLC3A2	8	-16	651	-517	3	-4	4198	1875
SOX10	8	0	651	2841	36	0	520	-13
SPI1	8	0	651	2841	17	5	1110	-406
STC1	8	1	651	4146	6	1	2676	-405
STK4	8	-1	651	1966	1	-3	7139	3582
SYK	8	3	651	9245	28	1	655	-59
TAC1	8	0	651	2841	3	-22	3758	2989
MAP3K7	8	-15	651	-500	18	2	1047	-120
TBX2	8	0	651	2841	3	0	4327	-30
TBX3	8	-1	651	1966	3	-2	4332	1236
TCF7L2	8	-9	651	-186	20	2	937	-96
TEAD1	8	-3	651	969	28	-2	669	12
TF	8	-2	651	1398	195	30	66	-17
TFAP2C	8	1	651	4146	2	0	4956	7
TFF1	8	1	651	4146	9	2	1855	-414
TGFBR1	8	0	651	2841	14	-4	1314	279
THRB	8	2	651	6273	15	6	1223	-670
TIMP1	8	-4	651	651	45	16	426	-257
TIMP3	8	-1	651	1966	16	14	1166	-3795
TLR5	8	1	651	4146	0	-3	9106	5017
TNFRSF1A	8	-7	651	32	25	-6	731	108
TNS1	8	1	651	4146	2	1	4980	-1504
TOP2A	8	-11	651	-346	16	9	1168	-1107
TOP2B	8	-9	651	-186	2	-7	5045	3136
TRPC3	8	2	651	6273	4	0	3238	16
TSHR	8	-2	651	1398	37	11	496	-243
TTR	8	-1	651	1966	91	-22	187	37
TULP1	8	2	651	6273	3	2	4069	-2555
TYK2	8	-3	651	969	45	-19	427	140
UBE2L3	8	-7	651	32	1	1	6818	-2701
UMOD	8	-1	651	1966	61	10	295	-74
UMPS	8	-2	651	1398	8	-3	1994	414
EZR	8	-8	651	-84	20	-2	944	63
VSNL1	8	0	651	2841	3	0	4217	-44
WNT5A	8	-1	651	1966	0	0	9768	-51
MKRN3	8	1	651	4146	1	-1	6791	1584
TRIM25	8	-18	651	-548	11	10	1598	-5195
IL1R2	8	2	651	6273	6	-14	2672	1717
FZD5	8	3	651	9245	0	0	9928	-54
USP7	8	-23	651	-595	15	8	1248	-1087
PLA2G7	8	4	651	16822	10	-9	1744	742
KAT6A	8	-1	651	1966	5	2	3094	-1248
NR4A3	8	1	651	4146	5	-4	2959	1051
ADAM12	8	1	651	4146	12	6	1489	-1114
ANP32A	8	-2	651	1398	0	0	9194	-45
TAF15	8	-14	651	-464	3	2	4071	-2564
USP9X	8	-12	651	-395	15	6	1240	-689
OGT	8	-10	651	-265	9	-14	1922	1077
OFD1	8	8	651	16962	0	0	8365	-101
LGR5	8	0	651	2841	38	14	494	-324
TP63	8	-7	651	32	39	-11	482	98
FADD	8	-3	651	969	29	-5	637	72
TNFRSF11A	8	1	651	4146	51	29	371	-490
IL1RL2	8	8	651	16962	4	1	3567	-789
TMEM11	8	3	651	9245	0	0
SPHK1	8	-1	651	1966	7	5	2296	-2679
SQSTM1	8	-29	651	-615	28	-18	675	251
SELENBP1	8	0	651	2841	0	-3	10605	6186
PKD2L1	8	8	651	16962	1	0	6529	-16
PKMYT1	8	1	651	4146	10	-5	1704	477
RGN	8	2	651	6273	5	-3	3000	913
AIFM1	8	-10	651	-265	3	-6	4094	2169
EXO1	8	1	651	4146	8	-5	2109	700
AURKB	8	-5	651	416	0	0	9033	-56
LRAT	8	8	651	16962	4	-2	3229	788
SLIT2	8	1	651	4146	3	0	4273	-36
OTOF	8	-1	651	1966	7	4	2348	-1872
FADS2	8	-1	651	1966	15	5	1205	-504
NTN1	8	-3	651	969	3	-2	4103	1096
AIM2	8	-7	651	32	14	-12	1319	557
ARHGEF6	8	2	651	6273	0	0	9185	-48
SPTLC2	8	2	651	6273	0	-4	9789	6257
CXCL14	8	-2	651	1398	14	9	1271	-1510
CLOCK	8	-1	651	1966	44	4	436	-42
APOBEC3B	8	-5	651	416	3	1	4088	-1039
PRDX6	8	-14	651	-464	5	3	2991	-2138
PDIA4	8	-8	651	-84	0	0
TTI1	8	1	651	4146	0	0
DCAF1	8	-3	651	969	2	1	5193	-1599
KMT2B	8	-3	651	969	7	5	2338	-2875
EIF4A3	8	-7	651	32	2	-2	5135	1669
DLGAP5	8	1	651	4146	1	1	6954	-2806
SETDB1	8	-2	651	1398	6	-10	2667	1501
NUAK1	8	2	651	6273	6	5	2660	-4343
USP3	8	-2	651	1398	0	0
AKT3	8	8	651	16962	3	1	4271	-1121
DNM1L	8	-6	651	200	24	10	783	-551
NR1H3	8	0	651	2841	9	1	1916	-195
HIPK3	8	1	651	4146	0	0	10145	-40
FLOT1	8	-2	651	1398	6	-7	2643	1231
TRIB1	8	8	651	16962	8	3	2134	-925
GPHN	8	-3	651	969	6	-5	2451	898
FSTL3	8	8	651	16962	3	2	4026	-2506
STUB1	8	-23	651	-595	3	-2	4032	1066
NDRG1	8	-4	651	651	8	2	2107	-490
VAV3	8	2	651	6273	0	-2	9669	4375
TOMM40	8	-3	651	969	3	0	4178	-49
DDX17	8	-20	651	-573	2	-2	5266	1755
UBD	8	0	651	2841	7	2	2342	-692
AGR2	8	0	651	2841	9	-5	1904	577
HTATIP2	8	3	651	9245	0	0	9503	-38
TXNIP	8	-6	651	200	7	3	2179	-1015
CAMKK2	8	2	651	6273	5	-1	3036	397
TBR1	8	3	651	9245	6	-8	2678	1348
PLK4	8	0	651	2841	8	4	2143	-1427
MAP3K2	8	1	651	4146	1	0	7073	-5
TRAF3IP2	8	2	651	6273	1	-2	7075	2792
WDR4	8	1	651	4146	0	0	10257	-43
CCR9	8	2	651	6273	13	-2	1409	160
RBPMS	8	1	651	4146	3	0	4168	-50
RAB31	8	0	651	2841	0	-1	9610	2713
UBE2C	8	-11	651	-346	4	3	3523	-3552
PARK7	8	-8	651	-84	18	-6	1050	235
DDX42	8	-6	651	200	0	-1	10649	3188
MAPRE1	8	-1	651	1966	2	-1	5535	1125
SIRT2	8	-3	651	969	13	5	1412	-722
KDM2A	8	-4	651	651	4	0	3602	-16
IQSEC2	8	1	651	4146	3	0	4130	-54
KDM6B	8	-3	651	969	19	13	986	-1602
FAF2	8	-8	651	-84	1	1	6854	-2720
JMJD6	8	-2	651	1398	3	0	4157	-49
SIRT5	8	-3	651	969	9	7	1921	-3480
CRB1	8	0	651	2841	6	1	2664	-405
SUZ12	8	-2	651	1398	3	-4	4210	1883
SLC39A14	8	-2	651	1398	0	0
PRAME	8	-5	651	416	14	2	1263	-188
CLEC5A	8	1	651	4146	1	-3	7252	3663
SLC7A11	8	-9	651	-186	20	-4	946	133
AIPL1	8	8	651	16962	1	1	7085	-2878
KIF4A	8	-5	651	416	1	-1	7087	1719
WIPI2	8	2	651	6273	0	0	10015	-48
IFT172	8	3	651	9245	0	0
PTPN22	8	-2	651	1398	21	7	882	-416
PHGDH	8	-11	651	-346	13	-7	1403	447
RGS17	8	8	651	16962	0	-1	11108	3395
GREM1	8	-3	651	969	0	0
PDCD4	8	-4	651	651	8	5	2155	-2283
RBMS3	8	1	651	4146	0	0	11142	-55
MOCS3	8	0	651	2841	1	1	7701	-3490
ANKRD11	8	-1	651	1966	1	1	7027	-2844
UHRF1	8	-9	651	-186	4	-6	3518	1725
CHST11	8	1	651	4146	2	1	5692	-2026
ADIPOR1	8	3	651	9245	5	-14	2889	1907
JPT1	8	1	651	4146	2	-3	5651	2517
HSPA14	8	-1	651	1966	0	0	11333	-58
TLR7	8	-1	651	1966	5	2	2962	-1125
BPIFA1	8	1	651	4146	0	0	8897	-63
FZR1	8	1	651	4146	2	1	5565	-1918
GHRL	8	-6	651	200	0	0	12908	2
ADA2	8	-1	651	1966	1	0	7577	-19
TM6SF2	8	3	651	9245	3	0	4433	-34
CYCS	8	-2	651	1398	182	47	71	-48
ERRFI1	8	2	651	6273	2	-1	5592	1145
SLC38A2	8	0	651	2841	0	-1	10744	3217
NLGN3	8	8	651	16962	6	2	2712	-922
DLL4	8	2	651	6273	5	-4	3137	1173
UGT1A1	8	-2	651	1398	24	-5	773	96
WDR74	8	2	651	6273	0	0
TRPM4	8	1	651	4146	5	3	2816	-1883
NSUN2	8	-11	651	-346	12	7	1509	-1621
CMTM6	8	0	651	2841	0	0	10199	-37
USP47	8	-2	651	1398	0	0	10205	-39
SUSD4	8	8	651	16962	0	0
PRMT6	8	1	651	4146	1	0	7440	9
DNAJA4	8	2	651	6273	1	1	7695	-3488
BATF3	8	8	651	16962	0	0
SPATA7	8	3	651	9245	1	0	7870	-22
SELENOS	8	2	651	6273	0	0	11477	-62
ANGPTL8	8	1	651	4146	2	1	4644	-1434
PDGFC	8	8	651	16962	2	-5	5879	3484
DIABLO	8	-2	651	1398	16	-7	1195	349
PNO1	8	0	651	2841	0	-1	10366	3038
CABP4	8	8	651	16962	0	0
DANCR	8	8	651	16962	0	0
PCDH19	8	0	651	2841	0	0
EPG5	8	2	651	6273	0	0
WDR19	8	8	651	16962	0	0
PROK2	8	0	651	2841	0	0
IFIH1	8	-1	651	1966	22	-9	836	208
ERAP2	8	2	651	6273	12	1	1514	-172
NSD1	8	0	651	2841	5	-1	2789	361
HHIP	8	2	651	6273	4	1	3694	-870
DEPTOR	8	2	651	6273	6	-2	2684	562
NMNAT1	8	-1	651	1966	11	-4	1611	364
BRD9	8	-2	651	1398	3	-4	3774	1595
VKORC1	8	1	651	4146	14	-1	1330	80
TRPM8	8	-1	651	1966	53	2	352	-20
ZXDC	8	2	651	6273	6	2	2717	-926
LIN28A	8	1	651	4146	10	-1	1638	68
AGMAT	8	2	651	6273	6	-1	2719	344
LPCAT1	8	-4	651	651	12	11	1454	-4751
SCUBE1	8	4	651	16822	0	-2	11327	5578
PDCD1LG2	8	-5	651	416	17	-2	1122	116
NDFIP1	8	2	651	6273	2	2	5650	-5315
POLR1HASP	8	8	651	16962	0	0
NECTIN4	8	0	651	2841	0	0
NUF2	8	-3	651	969	0	-1	11272	3473
SESN2	8	-2	651	1398	4	-1	3678	521
BRIP1	8	0	651	2841	5	0	2792	14
HAGHL	8	8	651	16962	0	0
DOT1L	8	-3	651	969	5	-2	3177	783
ORAI1	8	-2	651	1398	15	1	1258	-86
TSLP	8	0	651	2841	50	1	385	-10
YTHDC1	8	-3	651	969	5	2	3155	-1359
MTDH	8	-10	651	-265	0	0	11181	-47
CTHRC1	8	1	651	4146	2	-1	5864	1291
LRG1	8	0	651	2841	8	1	2173	-224
TMC1	8	8	651	16962	4	-5	3716	1741
EVC2	8	8	651	16962	0	0
RDH12	8	3	651	9245	1	1	7828	-3601
SSTR5-AS1	8	8	651	16962	0	0
MARVELD2	8	3	651	9245	0	0	12080	-26
TRPV3	8	4	651	16822	6	-8	2478	1199
GLIS3	8	1	651	4146	0	0
PGAM5	8	-12	651	-395	2	1	5860	-2214
DTX3	8	8	651	16962	0	0	11746	-47
FLCN	8	0	651	2841	11	3	1625	-531
TAPT1	8	8	651	16962	0	0
SAMD9L	8	2	651	6273	0	0
SKA1	8	0	651	2841	0	0
BRWD3	8	8	651	16962	2	2	5967	-6533
IFNL3	8	1	651	4146	3	0	4589	-38
CYP4V2	8	8	651	16962	0	-1	12196	3956
DOK7	8	8	651	16962	0	0
C1QTNF9	8	3	651	9245	0	0
FAM111B	8	1	651	4146	0	0
ERCC6L2	8	2	651	6273	0	0
LINC01138	8	4	651	16822	0	0
MBNL1-AS1	8	8	651	16962	0	0
MIR107	8	8	651	16962	0	0
MIR1-1	8	0	651	2841	0	0
MIR1-2	8	1	651	4146	0	0
MIR125B2	8	2	651	6273	0	0
MIR140	8	-4	651	651	0	0
MIR141	8	0	651	2841	0	-6	12538	9790
MIR17	8	-5	651	416	0	0
MIR182	8	-1	651	1966	0	0
MIR183	8	1	651	4146	0	0
MIR185	8	-1	651	1966	0	0
MIR194-2	8	2	651	6273	0	0
MIR197	8	0	651	2841	0	0
MIR199A1	8	1	651	4146	0	0
MIR199A2	8	2	651	6273	0	0
MIR200C	8	-6	651	200	1	0	8251	-111
MIR204	8	-1	651	1966	0	0
MIR210	8	-5	651	416	0	0	12568	4
MIR22	8	-7	651	32	0	0
MIR23B	8	0	651	2841	0	0
MIR27A	8	-10	651	-265	0	0
MIR28	8	-1	651	1966	0	0
MIR34B	8	3	651	9245	0	0
MIR7-1	8	-1	651	1966	0	0	12610	4
MIR96	8	-1	651	1966	0	0	12675	1
MIR135B	8	0	651	2841	0	0
MIR151A	8	1	651	4146	0	0
MIR367	8	8	651	16962	0	0
MIR371A	8	8	651	16962	0	0
MIR361	8	1	651	4146	0	-1	12626	4248
MIR451A	8	-5	651	416	0	0
MIR494	8	-1	651	1966	1	1	8278	-4378
MIR495	8	0	651	2841	0	-2	12665	6695
NORAD	8	-1	651	1966	0	0
MIR545	8	2	651	6273	0	0
MIR599	8	8	651	16962	0	0
MIR877	8	2	651	6273	0	0
MIR1184-1	8	2	651	6273	0	0
MIR1275	8	2	651	6273	0	0
MIR1246	8	-1	651	1966	0	0
HOTTIP	8	2	651	6273	0	0
MIR3163	8	8	651	16962	0	0
MIR3646	8	8	651	16962	0	0
MIR3615	8	8	651	16962	0	0
LNROP	8	8	651	16962	0	0
CBR3-AS1	8	3	651	9245	0	0
MIR4731	8	8	651	16962	0	0
CERS6-AS1	8	1	651	4146	0	0
NCK1-DT	8	2	651	6273	0	0
ABAT	7	0	1125	3672	5	2	3191	-1440
ABCA4	7	-1	1125	2367	18	16	1002	-3641
ACHE	7	1	1125	5799	199	-58	62	22
ACLY	7	-18	1125	-1006	0	0
ACTA2	7	-3	1125	924	63	-24	288	84
ACTB	7	-12	1125	-820	85	28	208	-121
ACTL6A	7	-10	1125	-660	2	0	4720	-28
ACVR1B	7	2	1125	8771	6	-1	2529	290
ADCY5	7	2	1125	8771	1	-2	6176	2331
ADCYAP1R1	7	7	1125	16488	10	6	1661	-1585
ADH1C	7	1	1125	5799	2	-3	4699	1872
ADM	7	0	1125	3672	22	2	827	-98
GRK3	7	7	1125	16488	3	-1	3854	572
AFP	7	-5	1125	177	201	7	60	-10
JAG1	7	-5	1125	177	23	3	821	-140
AIF1	7	2	1125	8771	56	9	330	-79
AKT2	7	-3	1125	924	11	1	1567	-175
ALB	7	-17	1125	-991	399	-9	14	1
ALDOC	7	-3	1125	924	11	3	1555	-476
ALK	7	-5	1125	177	50	7	381	-65
ALOX12	7	2	1125	8771	6	-3	2574	682
ALPL	7	2	1125	8771	14	-6	1292	353
ANGPT1	7	2	1125	8771	21	4	890	-205
ANK1	7	1	1125	5799	0	-4	8616	5333
APAF1	7	0	1125	3672	15	-10	1200	432
AIRE	7	-1	1125	2367	70	11	255	-63
BIRC2	7	-2	1125	1492	8	-3	1982	410
APOBEC1	7	3	1125	16348	14	3	1291	-306
APOC1	7	-4	1125	495	3	-9	3887	2402
AQP3	7	-1	1125	2367	2	1	4700	-1444
ARF6	7	-6	1125	-58	9	5	1802	-1422
ARG1	7	-5	1125	177	7	-8	2193	1010
ARG2	7	0	1125	3672	6	-5	2507	911
